,Genero,Casado,Edad,Graduado,Profesion,Experiencia laboral,Gastoscore,Family_Size,anno_nacimiento,Generacion,Ingresos anuales brutos,Provincia,Digital_encuesta,Gasto_medio_mensual_cuota,Abandono,Dias_cliente,Campanna_anno,Cluster
1044,M,Si,44,Si,Funcionario,+20annos,Alto,2,1980,Generacion X,119013,LLeida,"1,905",50,0,309,"0,5",3
1045,M,Si,35,No,Otros,10-20annos,Bajo,2,1989,Millennials,18982,Guipuzcoa,"1,675",30,1,355,"0,5",0
1046,F,Si,46,Si,Ingeniero,+20annos,Bajo,2,1978,Generacion X,99447,Alicante,"0,72",50,0,301,"0,5",1
1047,M,Si,35,Si,Medico,10-20annos,Medio,2,1989,Millennials,30064,Tarragona,"2,02",30,0,564,4,0
1048,M,No,30,Si,Artista,<10annos,Bajo,2,1994,Millennials,21754,Murcia,"0,916",30,1,112,0,0
1049,M,No,32,No,Otros,10-20annos,Bajo,5,1992,Millennials,21692,Salamanca,"1,997",30,0,47,0,0
1050,M,No,47,Si,Otros,+20annos,Bajo,5,1977,Generacion X,38073,Palencia,"0,583",30,1,132,0,4
1051,M,Si,53,Si,Medico,+20annos,Medio,2,1971,Generacion X,33107,Madrid,"1,639",30,1,245,0,0
1052,M,Si,68,No,Otros,+20annos,Medio,6,1956,Generacion X,126776,La Rioja,"0,564",200,0,181,0,3
1053,F,No,46,Si,Artista,+20annos,Bajo,2,1978,Generacion X,102397,Las Palmas,"1,248",50,0,251,0,1
1054,M,Si,28,Si,Artista,<10annos,Medio,2,1996,Millennials,19350,Gerona,"1,374",30,0,339,"0,5",0
1055,M,No,34,No,Artista,10-20annos,Bajo,1,1990,Millennials,31836,Barcelona,"1,33",30,0,146,0,0
1056,M,Si,67,Si,Funcionario,+20annos,Bajo,4,1957,Generacion X,69046,Huelva,"0,837",80,0,478,3,2
1057,F,No,29,No,Construccion,<10annos,Bajo,1,1995,Millennials,20122,Gerona,"1,685",30,1,189,0,0
1058,F,No,30,Si,Medico,<10annos,Bajo,4,1994,Millennials,23820,Navarra,"0,985",30,1,146,0,0
1059,F,Si,44,Si,Artista,+20annos,Bajo,2,1980,Generacion X,71184,Almeria,"1,56",50,0,354,"0,5",2
1060,F,No,25,No,Funcionario,<10annos,Bajo,4,1999,Generacion Z,24524,La Coruña,"2,34",30,0,226,0,0
1061,M,Si,50,Si,Ejecutivo,+20annos,Alto,4,1974,Generacion X,45305,Teruel,"1,482",30,0,203,0,4
1062,F,No,41,Si,Artista,10-20annos,Bajo,1,1983,Millennials,30678,Sevilla,"1,491",30,0,412,1,0
1063,M,Si,31,Si,Medico,<10annos,Bajo,2,1993,Millennials,20103,Navarra,"1,537",30,0,495,3,0
1064,M,Si,77,No,Negocios/empresa,+20annos,Bajo,2,1947,Generacion X,46419,Tarragona,"1,502",30,1,194,0,4
1065,M,Si,41,Si,Artista,10-20annos,Medio,2,1983,Millennials,124087,Cadiz,"1,583",50,1,316,"0,5",3
1066,F,No,21,No,Medico,<10annos,Bajo,4,2003,Generacion Z,21978,Ciudad Real,"1,65",30,1,205,0,0
1067,M,Si,53,No,Servicios,+20annos,Medio,4,1971,Generacion X,128848,Valencia,"1,209",200,0,443,3,3
1069,M,Si,40,No,Artista,10-20annos,Medio,3,1984,Millennials,103897,Albacete,"0,732",30,1,252,0,1
1070,M,Si,69,No,Otros,+20annos,Medio,5,1955,Generacion X,57992,Barcelona,"1,111",30,0,303,"0,5",4
1071,F,Si,75,Si,Artista,+20annos,Medio,2,1949,Generacion X,105557,Albacete,"1,189",50,0,334,"0,5",1
1072,F,No,30,Si,Funcionario,<10annos,Bajo,4,1994,Millennials,21213,Murcia,"1,928",30,0,263,0,0
1073,M,No,33,Si,Otros,10-20annos,Bajo,3,1991,Millennials,29105,Las Palmas,"1,054",30,0,302,"0,5",0
1074,F,No,36,Si,Medico,10-20annos,Bajo,3,1988,Millennials,31432,Orense,"1,307",30,1,256,0,0
1075,M,Si,28,No,Otros,<10annos,Bajo,2,1996,Millennials,26466,Caceres,"3,099",30,1,207,0,0
1076,F,No,41,Si,Otros,10-20annos,Bajo,2,1983,Millennials,30661,Zaragoza,"1,284",30,1,148,0,0
1077,M,No,33,Si,Otros,10-20annos,Bajo,3,1991,Millennials,22717,Valencia,"1,238",30,1,330,"0,5",0
1078,F,Si,73,Si,Ingeniero,+20annos,Medio,2,1951,Generacion X,51345,Salamanca,"1,033",50,0,422,3,4
1079,F,No,34,No,Ingeniero,10-20annos,Bajo,1,1990,Millennials,18672,Santa Cruz de Tenerife,"1,882",30,1,381,3,0
1080,F,No,34,Si,Ingeniero,10-20annos,Bajo,3,1990,Millennials,19470,Orense,"1,192",30,0,551,4,0
1081,F,Si,50,Si,Artista,+20annos,Alto,5,1974,Generacion X,22982,Pontevedra,"0,798",30,0,138,0,0
1082,M,Si,46,No,Otros,+20annos,Bajo,3,1978,Generacion X,112823,Sevilla,"1,209",30,0,109,0,3
1083,F,Si,51,Si,Artista,+20annos,Medio,2,1973,Generacion X,107122,Huelva,"1,463",50,1,246,0,1
1084,F,Si,84,Si,Servicios,+20annos,Alto,2,1940,Generacion Silenciosa,119335,Malaga,"1,561",50,0,119,0,3
1085,M,No,28,Si,Funcionario,<10annos,Bajo,4,1996,Millennials,25387,Huelva,"2,513",30,0,497,3,0
1086,F,Si,45,Si,Ingeniero,+20annos,Medio,3,1979,Generacion X,96862,Alava,"1,629",30,0,351,"0,5",1
1087,M,Si,54,Si,Ingeniero,+20annos,Medio,2,1970,Generacion X,127708,LLeida,"1,248",50,1,193,0,3
1088,M,No,35,No,Servicios,10-20annos,Bajo,5,1989,Millennials,18702,Barcelona,"1,123",30,0,120,0,0
1089,M,Si,61,No,Artista,+20annos,Bajo,2,1963,Generacion X,50966,Orense,"0,955",30,0,216,0,4
1090,M,Si,73,Si,Ejecutivo,+20annos,Alto,2,1951,Generacion X,35032,Ciudad Real,"11,305",50,0,445,1,0
1091,F,Si,75,Si,Artista,+20annos,Bajo,1,1949,Generacion X,22149,Cordoba,"1,502",30,0,198,0,0
1092,M,No,23,No,Servicios,<10annos,Bajo,1,2001,Generacion Z,18902,Orense,"2,34",30,0,474,3,0
1093,F,No,43,Si,Artista,+20annos,Bajo,1,1981,Millennials,77752,Murcia,"1,353",50,1,179,0,2
1094,F,No,29,Si,Funcionario,<10annos,Bajo,2,1995,Millennials,27922,Caceres,"1,823",30,0,238,0,0
1095,M,No,24,No,Funcionario,<10annos,Bajo,1,2000,Generacion Z,16470,Guadalajara,"2,237",30,0,426,3,0
1096,M,No,22,No,Funcionario,<10annos,Bajo,4,2002,Generacion Z,21967,Cuenca,"1,443",30,1,391,3,0
1097,F,Si,55,Si,Medico,+20annos,Bajo,3,1969,Generacion X,124610,Valencia,"1,365",80,0,119,0,3
1098,F,Si,92,Si,Artista,+20annos,Alto,2,1932,Generacion Silenciosa,45101,Baleares,"0,603",50,1,283,0,4
1099,M,No,47,Si,Artista,+20annos,Bajo,5,1977,Generacion X,101121,Huesca,"0,994",30,0,540,4,1
1100,F,Si,69,Si,Otros,+20annos,Medio,4,1955,Generacion X,129925,Santa Cruz de Tenerife,"0,955",80,0,481,3,3
1101,M,No,41,Si,Otros,10-20annos,Bajo,1,1983,Millennials,94338,Cuenca,"1,721",50,0,128,0,1
1102,M,Si,34,No,Ingeniero,10-20annos,Medio,3,1990,Millennials,31024,Las Palmas,"1,997",30,1,356,"0,5",0
1103,M,No,29,No,Otros,<10annos,Bajo,3,1995,Millennials,19259,Avila,"2,823",30,0,561,4,0
1104,M,Si,45,Si,Otros,+20annos,Medio,3,1979,Generacion X,109609,Barcelona,"1,767",30,0,427,3,3
1105,F,Si,68,Si,Artista,+20annos,Alto,2,1956,Generacion X,62054,Zaragoza,"1,385",50,1,344,"0,5",2
1106,M,Si,50,Si,Ejecutivo,+20annos,Alto,4,1974,Generacion X,79684,Lugo,"1,091",80,1,166,0,2
1107,F,Si,31,No,Ingeniero,<10annos,Bajo,3,1993,Millennials,26657,Alava,"0,755",30,0,139,0,0
1108,F,Si,98,Si,Servicios,+20annos,Alto,2,1926,Generacion Silenciosa,23228,Huesca,"0,7",30,1,149,0,0
1109,M,No,22,No,Funcionario,<10annos,Bajo,4,2002,Generacion Z,18311,Cordoba,"1,616",30,0,167,0,0
1110,F,No,44,Si,Ingeniero,+20annos,Bajo,2,1980,Generacion X,27814,Gerona,"1,077",30,0,163,0,0
1111,M,No,25,No,Funcionario,<10annos,Bajo,4,1999,Generacion Z,22146,Valencia,"11,325",30,1,193,0,0
1112,M,No,45,Si,Artista,+20annos,Bajo,1,1979,Generacion X,40783,Toledo,"1,836",50,0,135,0,4
1113,M,Si,86,No,Servicios,+20annos,Alto,2,1938,Generacion Silenciosa,39374,Caceres,"1,424",30,0,369,3,4
1114,F,No,47,Si,Ingeniero,+20annos,Bajo,1,1977,Generacion X,61425,La Rioja,"1,287",50,1,172,0,2
1115,F,Si,63,Si,Artista,+20annos,Alto,4,1961,Generacion X,117739,Orense,"0,72",80,1,120,0,3
1116,M,Si,61,Si,Ejecutivo,+20annos,Alto,3,1963,Generacion X,66612,Castellon,"1,033",80,1,142,0,2
1117,F,No,30,Si,Ingeniero,<10annos,Bajo,1,1994,Millennials,22067,Madrid,"1,675",30,0,506,4,0
1118,M,Si,56,Si,Ejecutivo,+20annos,Alto,4,1968,Generacion X,90699,Malaga,"0,779",80,0,272,0,1
1119,M,Si,39,Si,Ejecutivo,10-20annos,Alto,4,1985,Millennials,26585,Jaen,"1,445",30,1,218,0,0
1120,M,Si,54,Si,Otros,+20annos,Medio,3,1970,Generacion X,129351,Sevilla,"0,681",80,0,226,0,3
1121,F,No,36,Si,Funcionario,10-20annos,Bajo,2,1988,Millennials,26050,Segovia,"1,376",30,1,263,0,0
1122,F,Si,66,Si,Artista,+20annos,Medio,2,1958,Generacion X,67648,La Coruña,"1,756",50,0,489,3,2
1123,M,Si,57,Si,Artista,+20annos,Bajo,3,1967,Generacion X,66493,Pontevedra,"1,033",80,0,138,0,2
1124,F,No,46,Si,Artista,+20annos,Bajo,2,1978,Generacion X,30010,Cuenca,"1,697",30,1,309,"0,5",0
1125,F,No,31,Si,Negocios/empresa,<10annos,Bajo,3,1993,Millennials,27624,Almeria,"1,652",30,0,41,0,0
1126,F,Si,47,Si,Artista,+20annos,Alto,3,1977,Generacion X,124565,Gerona,"1,385",80,1,136,0,3
1127,M,No,28,Si,Funcionario,<10annos,Bajo,4,1996,Millennials,25123,Palencia,"2,34",30,0,206,0,0
1128,F,Si,56,Si,Artista,+20annos,Bajo,2,1968,Generacion X,99600,Caceres,"1,189",50,0,75,0,1
1129,M,Si,46,Si,Artista,+20annos,Medio,3,1978,Generacion X,24802,Gerona,"1,541",30,0,345,"0,5",0
1130,M,No,22,No,Funcionario,<10annos,Bajo,5,2002,Generacion Z,16756,Tarragona,"1,995",30,0,568,4,0
1132,F,Si,45,Si,Artista,+20annos,Alto,4,1979,Generacion X,116161,Zaragoza,"1,583",30,0,110,0,3
1133,F,Si,78,Si,Servicios,+20annos,Bajo,2,1946,Generacion X,37497,Sevilla,"1,541",50,0,321,"0,5",4
1134,F,Si,46,Si,Artista,+20annos,Medio,2,1978,Generacion X,58069,Ciudad Real,"0,837",50,1,208,0,4
1135,M,Si,62,Si,Artista,+20annos,Medio,2,1962,Generacion X,63923,Leon,"1,443",50,0,301,"0,5",2
1136,F,Si,45,Si,Funcionario,+20annos,Medio,2,1979,Generacion X,72603,Barcelona,"1,33",50,0,304,"0,5",2
1137,M,Si,79,Si,Otros,+20annos,Bajo,2,1945,Generacion Silenciosa,87154,Las Palmas,"1,482",50,0,530,1,1
1138,F,No,33,No,Otros,10-20annos,Bajo,4,1991,Millennials,26164,Cuenca,"1,376",30,0,349,"0,5",0
1139,F,No,28,Si,Otros,<10annos,Bajo,6,1996,Millennials,26872,Zamora,"2,306",30,0,485,3,0
1140,M,No,36,Si,Negocios/empresa,10-20annos,Bajo,4,1988,Millennials,19678,Caceres,"2,043",30,0,385,1,0
1141,M,No,29,Si,Artista,<10annos,Bajo,1,1995,Millennials,19955,Guadalajara,"2,858",30,0,457,3,0
1142,M,Si,42,No,Ejecutivo,+20annos,Alto,3,1982,Millennials,44616,Orense,"0,686",30,0,547,4,4
1143,M,Si,66,Si,Servicios,+20annos,Bajo,2,1958,Generacion X,81936,Jaen,"1,482",50,0,309,"0,5",2
1144,F,Si,87,No,Servicios,+20annos,Alto,3,1937,Generacion Silenciosa,38753,La Coruña,"1,463",30,0,101,0,4
1145,F,No,42,Si,Negocios/empresa,+20annos,Bajo,4,1982,Millennials,77408,Pontevedra,"1,169",30,1,136,0,2
1146,M,Si,62,Si,Artista,+20annos,Medio,1,1962,Generacion X,40991,Soria,"1,404",50,0,233,0,4
1147,M,Si,80,No,Construccion,+20annos,Bajo,1,1944,Generacion Silenciosa,79359,Tarragona,"0,915",120,0,100,0,2
1148,F,No,24,No,Funcionario,<10annos,Bajo,7,2000,Generacion Z,22851,Las Palmas,"2,651",30,1,300,0,0
1149,M,Si,46,No,Negocios/empresa,+20annos,Bajo,3,1978,Generacion X,112847,Ciudad Real,"1,678",30,1,108,0,3
1150,M,Si,79,No,Servicios,+20annos,Alto,2,1945,Generacion Silenciosa,46449,Santa Cruz de Tenerife,"1,091",30,0,43,0,4
1151,F,No,36,Si,Funcionario,10-20annos,Bajo,3,1988,Millennials,18022,La Rioja,"1,629",30,0,378,1,0
1152,M,Si,58,Si,Ejecutivo,+20annos,Medio,4,1966,Generacion X,125441,Ciudad Real,"0,955",80,0,589,4,3
1153,F,No,28,No,Funcionario,<10annos,Bajo,5,1996,Millennials,19141,Gerona,"2,306",30,1,237,0,0
1154,M,Si,51,Si,Artista,+20annos,Medio,3,1973,Generacion X,85366,Leon,"0,896",80,0,367,3,1
1155,M,No,20,No,Funcionario,<10annos,Bajo,3,2004,Generacion Z,17954,La Rioja,"1,685",30,1,154,0,0
1156,F,No,66,Si,Ingeniero,+20annos,Bajo,1,1958,Generacion X,72980,LLeida,"1,424",50,1,180,0,2
1157,M,No,24,No,Medico,<10annos,Bajo,4,2000,Generacion Z,14802,Salamanca,"2,72",30,0,309,"0,5",0
1158,M,No,24,No,Funcionario,<10annos,Bajo,5,2000,Generacion Z,23862,Ceuta,"1,754",30,0,318,"0,5",0
1159,M,No,20,No,Funcionario,<10annos,Bajo,5,2004,Generacion Z,15234,Malaga,"1,167",30,0,486,3,0
1160,M,Si,43,Si,Medico,+20annos,Alto,3,1981,Millennials,104940,Zaragoza,"1,675",30,1,313,"0,5",1
1161,M,No,21,No,Funcionario,<10annos,Bajo,5,2003,Generacion Z,14093,Zamora,"3,065",30,0,110,0,0
1162,F,No,33,No,Artista,10-20annos,Bajo,1,1991,Millennials,27364,Huesca,"0,663",30,0,375,3,0
1163,M,No,25,No,Funcionario,<10annos,Bajo,5,1999,Generacion Z,28503,Jaen,"1,443",30,0,509,4,0
1164,M,No,25,No,Funcionario,<10annos,Bajo,7,1999,Generacion Z,28626,Segovia,"1,512",30,1,362,"0,5",0
1165,F,No,53,Si,Artista,+20annos,Bajo,1,1971,Generacion X,40924,Pontevedra,"1,6",50,1,261,0,4
1166,M,Si,43,Si,Artista,+20annos,Bajo,1,1981,Millennials,54379,Burgos,"1,56",50,0,396,1,4
1167,F,No,62,Si,Artista,+20annos,Bajo,1,1962,Generacion X,99586,Toledo,"1,326",50,0,419,1,1
1168,M,Si,69,No,Artista,+20annos,Medio,2,1955,Generacion X,113441,Las Palmas,"0,876",120,1,352,"0,5",3
1169,F,Si,78,No,Ingeniero,+20annos,Alto,4,1946,Generacion X,74052,Leon,"1,756",30,1,206,0,2
1170,F,Si,77,Si,Otros,+20annos,Alto,2,1947,Generacion X,57412,Vizcaya,"1,541",50,0,277,0,4
1171,M,Si,92,No,Servicios,+20annos,Bajo,1,1932,Generacion Silenciosa,31748,Cuenca,"1,346",30,1,395,3,0
1172,M,Si,43,Si,Ejecutivo,+20annos,Alto,6,1981,Millennials,26646,Castellon,"1,077",30,1,142,0,0
1173,M,Si,46,Si,Artista,+20annos,Bajo,4,1978,Generacion X,61564,Toledo,"1,541",80,0,519,1,2
1174,M,Si,51,Si,Artista,+20annos,Bajo,2,1973,Generacion X,37426,Ceuta,"1,287",50,0,233,0,4
1175,M,Si,69,No,Ejecutivo,+20annos,Medio,3,1955,Generacion X,22912,LLeida,"1,541",30,0,478,3,0
1176,F,Si,61,No,Artista,+20annos,Bajo,3,1963,Generacion X,26125,Huelva,"1,639",30,0,155,0,0
1177,M,Si,46,Si,Ingeniero,+20annos,Bajo,2,1978,Generacion X,104799,Tarragona,"0,7",50,1,242,0,1
1178,F,Si,64,Si,Artista,+20annos,Medio,2,1960,Generacion X,76757,Zaragoza,"0,622",50,0,38,0,2
1179,F,Si,97,Si,Servicios,+20annos,Bajo,1,1927,Generacion Silenciosa,96248,Madrid,"1,58",50,0,250,0,1
1180,M,Si,47,Si,Artista,+20annos,Medio,2,1977,Generacion X,71633,Melilla,"1,756",50,1,197,0,2
1181,M,Si,80,Si,Ejecutivo,+20annos,Alto,3,1944,Generacion Silenciosa,27423,Burgos,"1,541",30,1,325,"0,5",0
1182,M,Si,39,Si,Otros,10-20annos,Medio,1,1985,Millennials,18667,Avila,"2,043",30,0,269,0,0
1183,M,No,33,No,Funcionario,10-20annos,Bajo,5,1991,Millennials,18687,Santa Cruz de Tenerife,"1,652",30,0,575,4,0
1184,M,Si,33,No,Medico,10-20annos,Medio,2,1991,Millennials,21729,Barcelona,"1,1",30,1,137,0,0
1185,M,Si,51,Si,Funcionario,+20annos,Alto,3,1973,Generacion X,39681,Tarragona,"0,994",30,0,314,"0,5",4
1186,F,Si,47,Si,Artista,+20annos,Medio,2,1977,Generacion X,89713,Cuenca,"1,17",50,0,111,0,1
1187,F,Si,40,No,Otros,10-20annos,Alto,3,1984,Millennials,90058,Alicante,"1,79",30,1,392,3,1
1188,F,Si,52,Si,Servicios,+20annos,Bajo,1,1972,Generacion X,51921,Ciudad Real,"0,896",50,1,227,0,4
1189,M,Si,69,Si,Otros,+20annos,Bajo,1,1955,Generacion X,31473,La Rioja,"1,15",30,0,232,0,0
1190,M,Si,39,Si,Artista,10-20annos,Bajo,2,1985,Millennials,31713,Albacete,"0,939",30,1,165,0,0
1191,F,No,34,Si,Artista,10-20annos,Bajo,2,1990,Millennials,23364,Toledo,"1,652",30,0,519,4,0
1192,F,Si,50,Si,Artista,+20annos,Medio,4,1974,Generacion X,60485,Valencia,"1,678",80,0,255,0,2
1193,M,No,29,No,Ejecutivo,<10annos,Bajo,2,1995,Millennials,30716,Cuenca,"11,325",30,0,263,0,0
1194,M,Si,41,No,Medico,10-20annos,Medio,2,1983,Millennials,51206,Zaragoza,"1,629",30,0,462,3,4
1195,F,Si,29,No,Medico,<10annos,Medio,2,1995,Millennials,28834,Valencia,"0,995",30,1,356,"0,5",0
1196,M,Si,41,No,Otros,10-20annos,Bajo,5,1983,Millennials,27087,Cadiz,"0,87",30,0,33,0,0
1197,F,Si,58,Si,Artista,+20annos,Medio,3,1966,Generacion X,126233,Zamora,"0,661",80,0,285,0,3
1198,F,No,61,Si,Artista,+20annos,Bajo,1,1963,Generacion X,105293,Huelva,"1,619",50,1,244,0,1
1199,M,Si,46,Si,Ejecutivo,+20annos,Alto,6,1978,Generacion X,111041,Zaragoza,"1,717",30,0,142,0,3
1200,F,Si,51,Si,Artista,+20annos,Medio,2,1973,Generacion X,117939,Ciudad Real,"1,287",50,1,194,0,3
1201,M,Si,33,Si,Funcionario,10-20annos,Bajo,6,1991,Millennials,20233,Huelva,"0,893",30,1,186,0,0
1202,M,No,69,Si,Artista,+20annos,Bajo,1,1955,Generacion X,92943,Valencia,"1,658",50,0,169,0,1
1203,M,Si,57,Si,Otros,+20annos,Bajo,4,1967,Generacion X,119039,Palencia,"0,759",80,0,497,3,3
1204,F,No,31,Si,Medico,<10annos,Bajo,2,1993,Millennials,18580,Madrid,"1,077",30,1,120,0,0
1205,F,No,22,No,Funcionario,<10annos,Bajo,5,2002,Generacion Z,16048,Vizcaya,"1,305",30,0,325,"0,5",0
1206,M,Si,66,Si,Ejecutivo,+20annos,Alto,3,1958,Generacion X,52056,Lugo,"0,857",30,0,320,"0,5",4
1207,M,Si,46,Si,Funcionario,+20annos,Medio,4,1978,Generacion X,48663,Zaragoza,"0,564",30,0,556,4,4
1208,M,Si,51,Si,Medico,+20annos,Medio,6,1973,Generacion X,24098,Teruel,"0,564",30,0,340,"0,5",0
1209,M,Si,41,Si,Artista,10-20annos,Medio,2,1983,Millennials,72462,Orense,"0,732",50,0,309,"0,5",2
1210,F,No,46,Si,Artista,+20annos,Bajo,1,1978,Generacion X,113111,Teruel,"1,541",50,1,326,"0,5",3
1211,F,Si,51,Si,Artista,+20annos,Medio,4,1973,Generacion X,25806,Navarra,"1,385",30,0,47,0,0
1212,M,Si,54,No,Funcionario,+20annos,Bajo,7,1970,Generacion X,91019,Palencia,"1,619",30,0,490,3,1
1213,F,Si,98,No,Servicios,+20annos,Alto,2,1926,Generacion Silenciosa,65005,Malaga,"1,033",30,0,372,3,2
1214,F,Si,42,No,Otros,+20annos,Bajo,1,1982,Millennials,31175,Valladolid,"1,56",30,1,212,0,0
1215,M,Si,53,Si,Artista,+20annos,Medio,2,1971,Generacion X,126290,Segovia,"0,818",50,0,405,3,3
1216,F,Si,56,Si,Artista,+20annos,Bajo,4,1968,Generacion X,57787,Valladolid,"1,209",80,0,363,"0,5",4
1217,M,Si,80,Si,Artista,+20annos,Alto,2,1944,Generacion Silenciosa,24963,Barcelona,"1,091",30,1,276,0,0
1218,M,No,33,Si,Funcionario,10-20annos,Bajo,4,1991,Millennials,24228,Teruel,"1,514",30,0,289,0,0
1219,F,Si,51,Si,Artista,+20annos,Bajo,1,1973,Generacion X,93981,Soria,"1,326",50,0,250,0,1
1220,F,Si,72,Si,Servicios,+20annos,Medio,2,1952,Generacion X,113186,La Coruña,"1,209",50,1,100,0,3
1221,F,No,40,No,Artista,10-20annos,Bajo,1,1984,Millennials,79168,Albacete,"0,87",120,0,486,3,2
1222,F,No,28,Si,Funcionario,<10annos,Bajo,3,1996,Millennials,22761,Pontevedra,"1,823",30,1,123,0,0
1223,F,No,34,No,Servicios,10-20annos,Bajo,3,1990,Millennials,31742,Albacete,"1,813",30,0,218,0,0
1224,M,Si,47,Si,Ejecutivo,+20annos,Alto,4,1977,Generacion X,89540,Lugo,"1,111",80,0,524,4,1
1225,F,Si,36,Si,Construccion,10-20annos,Alto,2,1988,Millennials,20239,Jaen,"1,215",30,0,597,4,0
1226,M,No,33,Si,Otros,10-20annos,Bajo,1,1991,Millennials,31340,Vizcaya,"1,215",30,0,306,"0,5",0
1228,F,No,28,Si,Ingeniero,<10annos,Bajo,2,1996,Millennials,30592,Madrid,"1,65",30,0,411,3,0
1229,M,Si,54,Si,Artista,+20annos,Medio,4,1970,Generacion X,74625,Cadiz,"1,737",80,1,241,0,2
1230,F,No,34,Si,Artista,10-20annos,Bajo,1,1990,Millennials,19015,Alicante,"1,767",30,0,397,3,0
1232,F,No,30,Si,Medico,<10annos,Bajo,8,1994,Millennials,18747,Soria,"1,146",30,1,340,"0,5",0
1233,F,No,36,Si,Otros,10-20annos,Bajo,3,1988,Millennials,21607,Baleares,"1,56",30,0,110,0,0
1234,M,Si,39,Si,Artista,10-20annos,Medio,2,1985,Millennials,18436,LLeida,"1,468",30,1,207,0,0
1235,M,No,21,No,Funcionario,<10annos,Bajo,5,2003,Generacion Z,20384,Malaga,"2,858",30,0,273,0,0
1236,F,Si,28,No,Negocios/empresa,<10annos,Alto,5,1996,Millennials,18951,Alava,"2,961",30,1,258,0,0
1237,M,Si,63,No,Ejecutivo,+20annos,Alto,4,1961,Generacion X,116537,Vizcaya,"1,717",30,1,122,0,3
1238,M,Si,50,No,Ejecutivo,+20annos,Medio,4,1974,Generacion X,125353,Badajoz,"0,896",200,0,266,0,3
1239,F,Si,52,No,Construccion,+20annos,Alto,3,1972,Generacion X,38958,Soria,"1,561",30,0,527,4,4
1241,F,No,36,Si,Medico,10-20annos,Bajo,2,1988,Millennials,28313,Baleares,"1,169",30,0,230,0,0
1242,M,Si,50,Si,Artista,+20annos,Bajo,1,1974,Generacion X,95487,Barcelona,"1,502",50,0,335,"0,5",1
1243,M,No,30,No,Funcionario,<10annos,Bajo,3,1994,Millennials,20673,Palencia,"1,031",30,0,280,0,0
1244,F,Si,42,Si,Ingeniero,+20annos,Bajo,1,1982,Millennials,99952,Lugo,"1,629",50,0,45,0,1
1245,F,No,42,No,Ingeniero,+20annos,Bajo,3,1982,Millennials,67463,Orense,"0,778",30,0,449,3,2
1246,M,No,96,No,Servicios,+20annos,Bajo,1,1928,Generacion Silenciosa,76479,Soria,"1,502",120,1,250,0,2
1247,M,No,33,Si,Medico,10-20annos,Bajo,3,1991,Millennials,18849,Valladolid,"1,33",30,0,326,"0,5",0
1248,M,Si,63,Si,Otros,+20annos,Medio,7,1961,Generacion X,55112,Jaen,"0,603",30,1,119,0,4
1249,F,Si,69,Si,Artista,+20annos,Bajo,2,1955,Generacion X,66611,Zamora,"0,583",50,0,288,0,2
1250,M,No,55,No,Medico,+20annos,Bajo,3,1969,Generacion X,44606,Santa Cruz de Tenerife,"1,737",30,0,335,"0,5",4
1251,M,Si,75,Si,Ejecutivo,+20annos,Alto,2,1949,Generacion X,66346,Las Palmas,"1,502",50,0,515,1,2
1252,F,Si,36,No,Otros,10-20annos,Bajo,2,1988,Millennials,29272,Santa Cruz de Tenerife,"1,721",30,0,452,3,0
1253,F,Si,41,Si,Medico,10-20annos,Bajo,2,1983,Millennials,67784,Ciudad Real,"1,836",50,1,142,0,2
1254,F,No,28,No,Ingeniero,<10annos,Bajo,6,1996,Millennials,31086,Baleares,"12,015",30,1,345,"0,5",0
1255,F,No,32,No,Ingeniero,10-20annos,Bajo,5,1992,Millennials,30462,La Coruña,"0,663",30,0,320,"0,5",0
1256,F,No,35,Si,Funcionario,10-20annos,Bajo,2,1989,Millennials,31921,Santa Cruz de Tenerife,"1,284",30,0,557,4,0
1257,F,Si,75,No,Ingeniero,+20annos,Bajo,1,1949,Generacion X,126009,Albacete,"1,678",120,1,225,0,3
1258,M,Si,95,Si,Servicios,+20annos,Alto,2,1929,Generacion Silenciosa,35276,Gerona,"1,385",50,1,340,"0,5",0
1259,M,Si,54,Si,Artista,+20annos,Bajo,3,1970,Generacion X,39073,Jaen,"1,228",30,1,276,0,4
1260,F,Si,35,Si,Construccion,10-20annos,Alto,2,1989,Millennials,23416,Madrid,"1,56",30,1,265,0,0
1261,M,Si,31,Si,Funcionario,<10annos,Bajo,4,1993,Millennials,18920,Melilla,"2,043",30,0,427,3,0
1262,F,No,29,Si,Construccion,<10annos,Bajo,1,1995,Millennials,21641,Castellon,"14,085",30,1,136,0,0
1263,M,Si,91,No,Servicios,+20annos,Bajo,1,1933,Generacion Silenciosa,108310,Valladolid,"1,619",120,1,192,0,3
1264,F,No,69,Si,Artista,+20annos,Bajo,1,1955,Generacion X,83153,Madrid,"0,779",50,0,299,0,2
1265,M,Si,72,No,Servicios,+20annos,Alto,2,1952,Generacion X,104900,Cadiz,"1,678",120,0,479,3,1
1266,F,Si,42,Si,Artista,+20annos,Medio,3,1982,Millennials,70520,Soria,"1,836",30,1,334,"0,5",2
1267,M,Si,67,Si,Otros,+20annos,Bajo,1,1957,Generacion X,99980,Granada,"1,502",50,0,330,"0,5",1
1268,F,Si,51,Si,Artista,+20annos,Bajo,2,1973,Generacion X,96424,Almeria,"1,541",50,0,504,1,1
1269,F,No,33,Si,Medico,10-20annos,Bajo,2,1991,Millennials,21650,Pontevedra,"0,916",30,1,100,0,0
